Cluster,Reuse,Length,Group,Blast_text,Node,ID
cluster_511,reuse,96,groupO2,n quel piantoegli mi prostrava ma a patto ch io mantenessi la mia affermazion,1011450___1_63,1011450
cluster_513,reuse,80,groupO2,ovevo dovevo andarmene anzi tutto questo è accaduto perchè io così innocentament,1011451___1_62,1011451
cluster_514,reuse,41,groupO2, non abbiamo ciascuno lo stesso sentiment,1011452___1_33,1011452
cluster_516,reuse,55,groupO2,elicissimo signor Meis sono proprio felicissimo che lei,1011453___1_46,1011453
cluster_517,reuse,126,groupO2,a felicità con cui accolsi questa scusa per l indelicatezza che commettevo spiando e origliando di nascosto mi fece sentir,1011454___1_91,1011454
cluster_518,reuse,89,groupO2,a io Cioè si Veramente balbettò Paleari Ecco era una cosa che si non poteva essere perba,1011455___1_64,1011455
cluster_519,reuse,40,groupO2,a no Ma no Ma no Che andavo faantasticand,1011456___1_33,1011456
cluster_520,reuse,71,groupO2,i accorsi tutt a un tratto che dovevo proprio morire ancora ecco il mal,1011457___1_54,1011457
cluster_524,reuse,81,groupO2,r che cos ero io se non un uomo inventato Un invenzione ambulante che voleva e del resto doveva forzatamente stare per,1011460___1_95,1011460
cluster_524,reuse,81,groupB,s ero io se non un uomo inventato Un invenzione che doveva s,1011711___1_49,1011711
cluster_524,reuse,81,groupB,s ero io se non un uomo inventato Un invenzione che doveva s,1011712___1_49,1011712
cluster_525,reuse,115,groupO2, interruppe come se si sentisse mancare il fiato volle volgersi a me ma non gli bastò l animo di guardarmi in facci,1011463___1_86,1011463
cluster_526,reuse,70,groupO2, accendevano ora d una più viva luce interiore i suoi sguardi fuggitiv,1011464___1_53,1011464
cluster_528,reuse,115,groupO2,tava a me potevo e dovevo essere l artefice del mio nuovo destino nella misura che la Fortuna aveva voluto concederm,1011466___1_94,1011466
cluster_530,reuse,115,groupO2,o nuovo destin,1011512___32_45,1011512
cluster_530,reuse,115,groupB,l nuovo destino estraniarsi dal,1011746___1_29,1011746
cluster_533,reuse,45,groupO2,ra l ansia e la rabbia non mi curai più se altr,1011467___1_34,1011467
cluster_534,reuse,111,groupO2, mi aveva preso godeva dello spasimo che le costava lo spasimo di reprimere la sua foga smaniosa per esprimers,1011468___15_103,1011468
cluster_535,reuse,113,groupO2,rgomentavo che la mia sciagura non poteva ispirare a nessuno non che compatimento ma neppur considerazion,1011472___1_85,1011472
cluster_540,reuse,28,groupO2,l destino di Roma è l identi,1011477___1_23,1011477
cluster_542,reuse,109,groupO2,ggono disgraziati cui la passione del gioco ha sconvolto il cervello nel modo più singolare stanno a studiar,1011480___4_86,1011480
cluster_543,reuse,94,groupO2,i chinai a cercar la bocca di lei e così il primo bacio bacio lungo e muto fu scambiato fra no,1011481___1_61,1011481
cluster_545,reuse,123,groupO2,ciolto dalla vita superstite di se stesso sperduto in attesa di vivere oltre la morte senza intravvedere ancora in quale mod,1011484___1_103,1011484
cluster_546,reuse,71,groupO2,e sapesse che bisogno ho io d un amico d un vero amico in questo moment,1011485___1_52,1011485
cluster_552,reuse,68,groupO2,on possiamo comprendere la vita se in qualche modo non ci spieghiamo la mor,1011493___1_59,1011493
cluster_552,reuse,68,groupB,on possiamo comprendere la vita se non spieghiamo la mor,1011634___1_47,1011634
cluster_555,reuse,13,groupO2,n portacener,1011495___1_12,1011495
cluster_559,reuse,41,groupO2,l 12 è il re dei numeri ed è il mio numer,1011499___1_28,1011499
cluster_561,reuse,101,groupO2,e scostai e al primo contatto di quelle carnucce tenere e fredde ebbi un brivido nuovo un tremor di tenerezza ineffabil,1011506___1_91,1011506
cluster_561,reuse,101,groupB,ccarezzai e al contatto di quelle carnucce tenere e fredde ebbi un brivido nuovo er,1011791___3_63,1011791
cluster_562,reuse,72,groupO2,e ne diceva tanto male un giorno poi per questa ricchezza appunto lo spo,1011507___1_56,1011507
cluster_564,reuse,68,groupO2,on mi volete più a casa Ebbene tante grazie Me ne vado e salute a vo,1011509___1_50,1011509
cluster_566,reuse,110,groupB,e senza aver fatto male a nessuno dovevo guardarmi timoroso come se avessi perduto il diritto d esse,1011519___5_87,1011519
cluster_566,reuse,110,groupA,o Senza aver fatto male a nessuno dovevo guardarmi timoroso come se avessi perso il diritto di essere lasci,1011993___3_90,1011993
cluster_566,reuse,110,groupA,o Senza aver fatto male a nessuno dovevo guardarmi come se avessi perso il diritto di essere lasci,1011994___3_82,1011994
